tofix;mrph;fName;id;ref;PoS;gD;lm;std;tx;fixed
std;2.sg.prs.;McP Test;McP Test;McP I 437.29;vb.;wollen;gribēt;gribi;Ghribbi;
mrph;;McP Test;McP Test;McP I 437.29;;;;zināt;ſinnaht;
;;McP Test;McP Test;McP I 437.29;;;zināt;zināt;ſinnaht;lm
;;McP Test;McP Test;McP I 437.29;vb.;;zināt;zināt;ſinnaht;PoS
;;McP Test;McP Test;McP I 437.29;vb.;wissen;zināt;zināt;ſinnaht;gD
;;McP Test;McP Test;McP I 437.29;;;;$;/;std
;$;McP Test;McP Test;McP I 437.29;;;;$;/;mrph
;$;McP Test;McP Test;McP I 437.29;;;$;$;/;lm
;$;McP Test;McP Test;McP I 437.29;$;;$;$;/;PoS
;$;McP Test;McP Test;McP I 437.29;$;$;$;$;/;gD
;;McP Test;McP Test;McP I 437.29;;;;mans;Manns;std
;n.sg.m.;McP Test;McP Test;McP I 437.29;;;;mans;Manns;mrph
;n.sg.m.;McP Test;McP Test;McP I 437.29;;;mans;mans;Manns;lm
;n.sg.m.;McP Test;McP Test;McP I 437.29;prn.;;mans;mans;Manns;PoS
;n.sg.m.;McP Test;McP Test;McP I 437.29;prn.;mein;mans;mans;Manns;gD
std: [];;McP Test;McP Test;McP I 437.29;;;;;;
std: [];;McP Test;McP Test;McP I 437.29;;;;;;
;;McP Test;McP Test;McP I 437.29;;;;bērns;Baͤhrns;std
;n.sg.;McP Test;McP Test;McP I 437.29;;;;bērns;Baͤhrns;mrph
;n.sg.;McP Test;McP Test;McP I 437.29;;;bērns;bērns;Baͤhrns;lm
;n.sg.;McP Test;McP Test;McP I 437.29;sm.;;bērns;bērns;Baͤhrns;PoS
gD: [['Kind'], ['Knabe']];n.sg.;McP Test;McP Test;McP I 437.29;sm.;;bērns;bērns;Baͤhrns;
;;McP Test;McP Test;McP I 437.29;;;;$;/;std
;$;McP Test;McP Test;McP I 437.29;;;;$;/;mrph
;$;McP Test;McP Test;McP I 437.29;;;$;$;/;lm
;$;McP Test;McP Test;McP I 437.29;$;;$;$;/;PoS
;$;McP Test;McP Test;McP I 437.29;$;$;$;$;/;gD
;;McP Test;McP Test;McP I 437.29;;;;kapēc;kapehtz;std
;-;McP Test;McP Test;McP I 437.29;;;;kapēc;kapehtz;mrph
