mrph;fName;id;ref;PoS;cls;gD;lm;std;tx
n.sg.;Bibelstellen;JH_20;Johannes 20 (As) Überschrift;sf.;a;Sonntag;недѣл҄ꙗ;недѣ́л҄ꙗ;неⷣ
n.sg.f.em.;Bibelstellen;JH_20;Johannes 20 (As) Überschrift;adj.num.ord.;???;zweiter;въторъ;вътора́ꙗ;б҃
g.sg.;Bibelstellen;JH_20;Johannes 20 (As) Überschrift;sf.;;Sonntag vor Ostern,ἀντίπασχα;антипасха;анти́пасхꙑ;антипаⷭ 
n.sg.;Bibelstellen;JH_20;Johannes 20 (As) Überschrift;sn.;a;Evangelium;еванђелиѥ;еванђе́лиѥ;евађ҃
$;Bibelstellen;JH_20;Johannes 20 (As) Überschrift;prp.;$;von;отъ;отъ;ѡⷮ
g.sg.;Bibelstellen;JH_20;Johannes 20 (As) Überschrift;sm.npr.;;Johannes;Ноанъ;Иоа́на;иоаⷩ
n.sg.;Bibelstellen;JH_20;Johannes 20 (As) Überschrift;sf.;c;Kapitel;глава;глава́;глаⷡ
n.du.n.;Bibelstellen;JH_20;Johannes 20 (As) Überschrift;num.;$;zwei;дъва;дъвѣ́;+с҃в҃ꙇ҃ 
n.du.;Bibelstellen;JH_20;Johannes 20 (As) Überschrift;num.;;hundert;съто;сътѣ́;+с҃в҃ꙇ҃ 
n.sg.f.em.;Bibelstellen;JH_20;Johannes 20 (As) Überschrift;adj.num.;;dritter;третьи;тре́тьꙗꙗ;+с҃в҃ꙇ҃ 
$;Bibelstellen;JH_20;Johannes 20 (As) Überschrift;prp.;$;auf;на;на;+с҃в҃ꙇ҃ 
l.sg.;Bibelstellen;JH_20;Johannes 20 (As) Überschrift;num.;c;zehn;десѧть;де́сѧте ;с҃в҃ꙇ҃ 
prc.prs.act.d.sg.n.;Bibelstellen;JH_20;Johannes 20.19 (As) ;vb.im.;a;sein;бꙑти;сѫ́щи;сѫщі
l.sg.;Bibelstellen;JH_20;Johannes 20.19 (As) ;adv.;$;spät;поздѣ;по́здѣ;поздѣ
$;Bibelstellen;JH_20;Johannes 20.19 (As) ;prp.;$;in;въ;въ;въ
a.sg.m.;Bibelstellen;JH_20;Johannes 20.19 (As) ;prn.;$;der,dieser;тъ;тъ;ть
n.sg.m.;Bibelstellen;JH_20;Johannes 20.19 (As) ;sm.;b;Tag;дьнь;дь́нь;дьнь
$;Bibelstellen;JH_20;Johannes 20.19 (As) ;prp.;$;in;въ;въ;въ
a.sg.m.;Bibelstellen;JH_20;Johannes 20.19 (As) ;num.;b;eins;ѥдинъ;ѥди́нъ;едінъ
a.sg.;Bibelstellen;JH_20;Johannes 20.19 (As) ;sm.;;Samstag;сѫботъ ;сѫбо́тъ ;сѫботъ, 
$;Bibelstellen;JH_20;Johannes 20.19 (As) ;prn.;$;und;и;и;и
d.pl.;Bibelstellen;JH_20;Johannes 20.19 (As) ;sf.;;Tür;двьрь;двьрь́мъ;двъремъ
prc.prt.pass.d.pl.m.;Bibelstellen;JH_20;Johannes 20.19 (As) ;vb.pf.;;schließen;затворити;затворе́номъ ;затвореномъ, 
$;Bibelstellen;JH_20;Johannes 20.19 (As) ;adv.;$;da;иде;иде;+идеже
$;Bibelstellen;JH_20;Johannes 20.19 (As) ;part.;$;же;же;же;идеже
3.pl.impf.;Bibelstellen;JH_20;Johannes 20.19 (As) ;vb.im.;a;sein;бꙑти;бѣ́ахѫ;бѣахѫ
n.pl.;Bibelstellen;JH_20;Johannes 20.19 (As) ;sm.;;Schüler;оученикъ;оученици́;оученіці
g.sg.;Bibelstellen;JH_20;Johannes 20.19 (As) ;prn.;$;er,sie,es;и;ѥго́;его 
prc.prt.pass.n.pl.m.;Bibelstellen;JH_20;Johannes 20.19 (As) ;vb.pf.;;versammeln;събьрати;съ́бьрани;сьбьрані
$;Bibelstellen;JH_20;Johannes 20.19 (As) ;prp.;$;für;за;за;за
a.sg.;Bibelstellen;JH_20;Johannes 20.19 (As) ;sm.;c;Furcht;страхъ;стра́хъ;страхъ
a.sg.m.;Bibelstellen;JH_20;Johannes 20.19 (As) ;adv.;$;Juden-;июдѣискъ;июдѣ́искъ ;июдеискъ, 
3.sg.aor.;Bibelstellen;JH_20;Johannes 20.19 (As) ;vb.pf.;b;kommen;приити;приде́;приде
n.sg.;Bibelstellen;JH_20;Johannes 20.19 (As) ;sm.npr.;a;Jesus;Исоусъ;Исоу́съ;ис҃ъ҃
$;Bibelstellen;JH_20;Johannes 20.19 (As) ;prn.;$;und;и;и;и
3.sg.aor.;Bibelstellen;JH_20;Johannes 20.19 (As) ;vb.;a;stehen;стати;ста;ста
$;Bibelstellen;JH_20;Johannes 20.19 (As) ;prp.;$;auf,über;по;по;по
d.sg.;Bibelstellen;JH_20;Johannes 20.19 (As) ;sf.;;Mitte;срѣда;срѣдѣ́;срѣдѣ
g.pl.;Bibelstellen;JH_20;Johannes 20.19 (As) ;sm.;;Schüler;оученикъ;оучени́къ;оученікь
g.pl.m.;Bibelstellen;JH_20;Johannes 20.19 (As) ;prn.;$;sein,eigene(r,s);свои;свои́хъ ;своихъ, 
$;Bibelstellen;JH_20;Johannes 20.19 (As) ;prn.;$;und;и;и;и
3.sg.aor.;Bibelstellen;JH_20;Johannes 20.19 (As) ;vb.;a;sprechen;глаголати;глаго́ла;г҃л҃а
d.pl.m.;Bibelstellen;JH_20;Johannes 20.19 (As) ;prn.;$;er,sie,es;и;и́мъ;имъ
a.sg.;Bibelstellen;JH_20;Johannes 20.19 (As) ;sm.;c;Friede;миръ;ми́ръ;міръ
d.pl.;Bibelstellen;JH_20;Johannes 20.19 (As) ;prn.;$;ihr;вꙑ;ва́мъ ;вамъ, 
$;Bibelstellen;JH_20;Johannes 20.20 (As);prn.;$;und;и;и;и
a.sg.n.;Bibelstellen;JH_20;Johannes 20.20 (As);pron.;$;diese(r,s);сь;се;се
prc.prt.act.n.sg.m.;Bibelstellen;JH_20;Johannes 20.20 (As);vb.pf.;c;reden;рещи;ре́къ;рекь
3.sg.aor.;Bibelstellen;JH_20;Johannes 20.20 (As);vb.pf.;;zeigen;показати;показа́;показа
d.pl.m.;Bibelstellen;JH_20;Johannes 20.20 (As);prn.;$;er,sie,es;и;и́мъ;имъ 
a.du.;Bibelstellen;JH_20;Johannes 20.20 (As);sf.;c;Hand;рѫка;рѫ́цѣ;рѫцѣ
$;Bibelstellen;JH_20;Johannes 20.20 (As);prn.;$;und;и;и;и
a.du.;Bibelstellen;JH_20;Johannes 20.20 (As);sf.;c;Bein,Fuß;нога;но́ꙃѣ;ноꙃѣ
$;Bibelstellen;JH_20;Johannes 20.20 (As);prn.;$;und;и;и;и
a.pl.;Bibelstellen;JH_20;Johannes 20.20 (As);sn.;;Rippe;ребро;ребра́;ребра
a.pl.n.;Bibelstellen;JH_20;Johannes 20.20 (As);prn.;$;sein,eigene(r,s);свои;своꙗ́ ;своѣ, 
