fixed;mrph;fName;id;ref;PoS;cls;gD;lm;std;tx;tofix
mrph;n.sg.;Bibelstellen;JH_20;Johannes 20 (As) Überschrift;sf.;;Woche;недѣл҄ꙗ;недѣ́л҄ꙗ;неⷣ;
PoS;n.sg.;Bibelstellen;JH_20;Johannes 20 (As) Überschrift;sf.;;Woche;недѣл҄ꙗ;недѣ́л҄ꙗ;неⷣ;
cls;n.sg.;Bibelstellen;JH_20;Johannes 20 (As) Überschrift;sf.;a;Woche;недѣл҄ꙗ;недѣ́л҄ꙗ;неⷣ;
gD;n.sg.;Bibelstellen;JH_20;Johannes 20 (As) Überschrift;sf.;a;Sonntag;недѣл҄ꙗ;недѣ́л҄ꙗ;неⷣ;
mrph;n.sg.f.em.;Bibelstellen;JH_20;Johannes 20 (As) Überschrift;adj.num.ord.;;zweiter;въторъ;вътора́ꙗ;б҃;
PoS;n.sg.f.em.;Bibelstellen;JH_20;Johannes 20 (As) Überschrift;adj.num.ord.;;zweiter;въторъ;вътора́ꙗ;б҃;
cls;n.sg.f.em.;Bibelstellen;JH_20;Johannes 20 (As) Überschrift;adj.num.ord.;???;zweiter;въторъ;вътора́ꙗ;б҃;
gD;n.sg.f.em.;Bibelstellen;JH_20;Johannes 20 (As) Überschrift;adj.num.ord.;???;zweiter;въторъ;вътора́ꙗ;б҃;
std;g.sg.;Bibelstellen;JH_20;Johannes 20 (As) Überschrift;sf.;;Sonntag vor Ostern,ἀντίπασχα;антипасха ;анти́пасхꙑ;антипаⷭ ;
mrph;g.sg.;Bibelstellen;JH_20;Johannes 20 (As) Überschrift;sf.;;Sonntag vor Ostern,ἀντίπασχα;антипасха ;анти́пасхꙑ;антипаⷭ ;
lm;g.sg.;Bibelstellen;JH_20;Johannes 20 (As) Überschrift;sf.;;Sonntag vor Ostern,ἀντίπασχα;антипасха;анти́пасхꙑ;антипаⷭ ;
PoS;g.sg.;Bibelstellen;JH_20;Johannes 20 (As) Überschrift;sf.;;Sonntag vor Ostern,ἀντίπασχα;антипасха;анти́пасхꙑ;антипаⷭ ;
;g.sg.;Bibelstellen;JH_20;Johannes 20 (As) Überschrift;sf.;;Sonntag vor Ostern,ἀντίπασχα;антипасха;анти́пасхꙑ;антипаⷭ ;cls
gD;g.sg.;Bibelstellen;JH_20;Johannes 20 (As) Überschrift;sf.;;Sonntag vor Ostern,ἀντίπασχα;антипасха;анти́пасхꙑ;антипаⷭ ;
mrph;n.sg.;Bibelstellen;JH_20;Johannes 20 (As) Überschrift;sn.;;Evangelium;еванђелиѥ;еванђе́лиѥ;евађ҃;
PoS;n.sg.;Bibelstellen;JH_20;Johannes 20 (As) Überschrift;sn.;;Evangelium;еванђелиѥ;еванђе́лиѥ;евађ҃;
cls;n.sg.;Bibelstellen;JH_20;Johannes 20 (As) Überschrift;sn.;a;Evangelium;еванђелиѥ;еванђе́лиѥ;евађ҃;
gD;n.sg.;Bibelstellen;JH_20;Johannes 20 (As) Überschrift;sn.;a;Evangelium;еванђелиѥ;еванђе́лиѥ;евађ҃;
mrph;$;Bibelstellen;JH_20;Johannes 20 (As) Überschrift;prp.;;von;отъ;отъ;ѡⷮ;
PoS;$;Bibelstellen;JH_20;Johannes 20 (As) Überschrift;prp.;;von;отъ;отъ;ѡⷮ;
cls;$;Bibelstellen;JH_20;Johannes 20 (As) Überschrift;prp.;$;von;отъ;отъ;ѡⷮ;
gD;$;Bibelstellen;JH_20;Johannes 20 (As) Überschrift;prp.;$;von;отъ;отъ;ѡⷮ;
mrph;g.sg.;Bibelstellen;JH_20;Johannes 20 (As) Überschrift;sm.npr.;;Johannes;Ноанъ;Иоа́на;иоаⷩ;
PoS;g.sg.;Bibelstellen;JH_20;Johannes 20 (As) Überschrift;sm.npr.;;Johannes;Ноанъ;Иоа́на;иоаⷩ;
;g.sg.;Bibelstellen;JH_20;Johannes 20 (As) Überschrift;sm.npr.;;Johannes;Ноанъ;Иоа́на;иоаⷩ;cls
gD;g.sg.;Bibelstellen;JH_20;Johannes 20 (As) Überschrift;sm.npr.;;Johannes;Ноанъ;Иоа́на;иоаⷩ;
mrph;n.sg.;Bibelstellen;JH_20;Johannes 20 (As) Überschrift;sf.;;Kapitel;глава;глава́;глаⷡ;
PoS;n.sg.;Bibelstellen;JH_20;Johannes 20 (As) Überschrift;sf.;;Kapitel;глава;глава́;глаⷡ;
cls;n.sg.;Bibelstellen;JH_20;Johannes 20 (As) Überschrift;sf.;c;Kapitel;глава;глава́;глаⷡ;
;n.sg.;Bibelstellen;JH_20;Johannes 20 (As) Überschrift;sf.;c;Kapitel;глава;глава́;глаⷡ;gD
;n.du.n.;Bibelstellen;JH_20;Johannes 20 (As) Überschrift;num.;;zwei;дъва;дъвѣ́;+с҃в҃ꙇ҃ ;std
PoS;n.du.n.;Bibelstellen;JH_20;Johannes 20 (As) Überschrift;num.;;zwei;дъва;дъвѣ́;+с҃в҃ꙇ҃ ;
cls;n.du.n.;Bibelstellen;JH_20;Johannes 20 (As) Überschrift;num.;$;zwei;дъва;дъвѣ́;+с҃в҃ꙇ҃ ;
gD;n.du.n.;Bibelstellen;JH_20;Johannes 20 (As) Überschrift;num.;$;zwei;дъва;дъвѣ́;+с҃в҃ꙇ҃ ;
;n.du.;Bibelstellen;JH_20;Johannes 20 (As) Überschrift;num.;;hundert;съто;сътѣ́;+с҃в҃ꙇ҃ ;std
PoS;n.du.;Bibelstellen;JH_20;Johannes 20 (As) Überschrift;num.;;hundert;съто;сътѣ́;+с҃в҃ꙇ҃ ;
;n.du.;Bibelstellen;JH_20;Johannes 20 (As) Überschrift;num.;;hundert;съто;сътѣ́;+с҃в҃ꙇ҃ ;cls
gD;n.du.;Bibelstellen;JH_20;Johannes 20 (As) Überschrift;num.;;hundert;съто;сътѣ́;+с҃в҃ꙇ҃ ;
;n.sg.f.em.;Bibelstellen;JH_20;Johannes 20 (As) Überschrift;adj.num.;;dritter;третьи;тре́тьꙗꙗ;+с҃в҃ꙇ҃ ;std
mrph;n.sg.f.em.;Bibelstellen;JH_20;Johannes 20 (As) Überschrift;adj.num.;;dritter;третьи;тре́тьꙗꙗ;+с҃в҃ꙇ҃ ;
PoS;n.sg.f.em.;Bibelstellen;JH_20;Johannes 20 (As) Überschrift;adj.num.;;dritter;третьи;тре́тьꙗꙗ;+с҃в҃ꙇ҃ ;
;n.sg.f.em.;Bibelstellen;JH_20;Johannes 20 (As) Überschrift;adj.num.;;dritter;третьи;тре́тьꙗꙗ;+с҃в҃ꙇ҃ ;cls
gD;n.sg.f.em.;Bibelstellen;JH_20;Johannes 20 (As) Überschrift;adj.num.;;dritter;третьи;тре́тьꙗꙗ;+с҃в҃ꙇ҃ ;
;$;Bibelstellen;JH_20;Johannes 20 (As) Überschrift;prp.;;auf;на;на;+с҃в҃ꙇ҃ ;std
mrph;$;Bibelstellen;JH_20;Johannes 20 (As) Überschrift;prp.;;auf;на;на;+с҃в҃ꙇ҃ ;
PoS;$;Bibelstellen;JH_20;Johannes 20 (As) Überschrift;prp.;;auf;на;на;+с҃в҃ꙇ҃ ;
cls;$;Bibelstellen;JH_20;Johannes 20 (As) Überschrift;prp.;$;auf;на;на;+с҃в҃ꙇ҃ ;
gD;$;Bibelstellen;JH_20;Johannes 20 (As) Überschrift;prp.;$;auf;на;на;+с҃в҃ꙇ҃ ;
;l.sg.;Bibelstellen;JH_20;Johannes 20 (As) Überschrift;num.;;zehn;десѧть ;де́сѧте ;с҃в҃ꙇ҃ ;std
mrph;l.sg.;Bibelstellen;JH_20;Johannes 20 (As) Überschrift;num.;;zehn;десѧть ;де́сѧте ;с҃в҃ꙇ҃ ;
lm;l.sg.;Bibelstellen;JH_20;Johannes 20 (As) Überschrift;num.;;zehn;десѧть;де́сѧте ;с҃в҃ꙇ҃ ;
PoS;l.sg.;Bibelstellen;JH_20;Johannes 20 (As) Überschrift;num.;;zehn;десѧть;де́сѧте ;с҃в҃ꙇ҃ ;
cls;l.sg.;Bibelstellen;JH_20;Johannes 20 (As) Überschrift;num.;c;zehn;десѧть;де́сѧте ;с҃в҃ꙇ҃ ;
gD;l.sg.;Bibelstellen;JH_20;Johannes 20 (As) Überschrift;num.;c;zehn;десѧть;де́сѧте ;с҃в҃ꙇ҃ ;
;prc.prs.act.d.sg.n.;Bibelstellen;JH_20;Johannes 20.19 (As) ;vb.im.;;sein;бꙑти;сѫ́щи;сѫщі;mrph
PoS;prc.prs.act.d.sg.n.;Bibelstellen;JH_20;Johannes 20.19 (As) ;vb.im.;;sein;бꙑти;сѫ́щи;сѫщі;
cls;prc.prs.act.d.sg.n.;Bibelstellen;JH_20;Johannes 20.19 (As) ;vb.im.;a;sein;бꙑти;сѫ́щи;сѫщі;
gD;prc.prs.act.d.sg.n.;Bibelstellen;JH_20;Johannes 20.19 (As) ;vb.im.;a;sein;бꙑти;сѫ́щи;сѫщі;
mrph;l.sg.;Bibelstellen;JH_20;Johannes 20.19 (As) ;adv.;;spät;поздѣ;по́здѣ;поздѣ;
PoS;l.sg.;Bibelstellen;JH_20;Johannes 20.19 (As) ;adv.;;spät;поздѣ;по́здѣ;поздѣ;
cls;l.sg.;Bibelstellen;JH_20;Johannes 20.19 (As) ;adv.;$;spät;поздѣ;по́здѣ;поздѣ;
gD;l.sg.;Bibelstellen;JH_20;Johannes 20.19 (As) ;adv.;$;spät;поздѣ;по́здѣ;поздѣ;
mrph;$;Bibelstellen;JH_20;Johannes 20.19 (As) ;prp.;;in;въ;въ;въ;
PoS;$;Bibelstellen;JH_20;Johannes 20.19 (As) ;prp.;;in;въ;въ;въ;
cls;$;Bibelstellen;JH_20;Johannes 20.19 (As) ;prp.;$;in;въ;въ;въ;
gD;$;Bibelstellen;JH_20;Johannes 20.19 (As) ;prp.;$;in;въ;въ;въ;
;a.sg.m.;Bibelstellen;JH_20;Johannes 20.19 (As) ;prn.;;der,dieser;тъ;тъ;ть;mrph
PoS;a.sg.m.;Bibelstellen;JH_20;Johannes 20.19 (As) ;prn.;;der,dieser;тъ;тъ;ть;
cls;a.sg.m.;Bibelstellen;JH_20;Johannes 20.19 (As) ;prn.;$;der,dieser;тъ;тъ;ть;
gD;a.sg.m.;Bibelstellen;JH_20;Johannes 20.19 (As) ;prn.;$;der,dieser;тъ;тъ;ть;
;n.sg.m.;Bibelstellen;JH_20;Johannes 20.19 (As) ;sm.;;Tag;дьнь;дь́нь;дьнь;mrph
PoS;n.sg.m.;Bibelstellen;JH_20;Johannes 20.19 (As) ;sm.;;Tag;дьнь;дь́нь;дьнь;
cls;n.sg.m.;Bibelstellen;JH_20;Johannes 20.19 (As) ;sm.;b;Tag;дьнь;дь́нь;дьнь;
gD;n.sg.m.;Bibelstellen;JH_20;Johannes 20.19 (As) ;sm.;b;Tag;дьнь;дь́нь;дьнь;
mrph;$;Bibelstellen;JH_20;Johannes 20.19 (As) ;prp.;;in;въ;въ;въ;
PoS;$;Bibelstellen;JH_20;Johannes 20.19 (As) ;prp.;;in;въ;въ;въ;
cls;$;Bibelstellen;JH_20;Johannes 20.19 (As) ;prp.;$;in;въ;въ;въ;
gD;$;Bibelstellen;JH_20;Johannes 20.19 (As) ;prp.;$;in;въ;въ;въ;
std;a.sg.m.;Bibelstellen;JH_20;Johannes 20.19 (As) ;num.;;eins;единъ;ѥди́нъ;едінъ;
;a.sg.m.;Bibelstellen;JH_20;Johannes 20.19 (As) ;num.;;eins;единъ;ѥди́нъ;едінъ;mrph
lm;a.sg.m.;Bibelstellen;JH_20;Johannes 20.19 (As) ;num.;;eins;ѥдинъ;ѥди́нъ;едінъ;
PoS;a.sg.m.;Bibelstellen;JH_20;Johannes 20.19 (As) ;num.;;eins;ѥдинъ;ѥди́нъ;едінъ;
cls;a.sg.m.;Bibelstellen;JH_20;Johannes 20.19 (As) ;num.;b;eins;ѥдинъ;ѥди́нъ;едінъ;
gD;a.sg.m.;Bibelstellen;JH_20;Johannes 20.19 (As) ;num.;b;eins;ѥдинъ;ѥди́нъ;едінъ;
;a.sg.;Bibelstellen;JH_20;Johannes 20.19 (As) ;sm.;;Samstag;сѫботъ ;сѫбо́тъ ;сѫботъ, ;std
;a.sg.;Bibelstellen;JH_20;Johannes 20.19 (As) ;sm.;;Samstag;сѫботъ ;сѫбо́тъ ;сѫботъ, ;mrph
;a.sg.;Bibelstellen;JH_20;Johannes 20.19 (As) ;sm.;;Samstag;сѫботъ ;сѫбо́тъ ;сѫботъ, ;lm
PoS;a.sg.;Bibelstellen;JH_20;Johannes 20.19 (As) ;sm.;;Samstag;сѫботъ ;сѫбо́тъ ;сѫботъ, ;
;a.sg.;Bibelstellen;JH_20;Johannes 20.19 (As) ;sm.;;Samstag;сѫботъ ;сѫбо́тъ ;сѫботъ, ;cls
gD;a.sg.;Bibelstellen;JH_20;Johannes 20.19 (As) ;sm.;;Samstag;сѫботъ ;сѫбо́тъ ;сѫботъ, ;
;$;Bibelstellen;JH_20;Johannes 20.19 (As) ;cnj.;;und;и;и;и;mrph
PoS;$;Bibelstellen;JH_20;Johannes 20.19 (As) ;prn.;;und;и;и;и;
cls;$;Bibelstellen;JH_20;Johannes 20.19 (As) ;prn.;$;und;и;и;и;
;$;Bibelstellen;JH_20;Johannes 20.19 (As) ;prn.;$;und;и;и;и;gD
mrph;d.pl.;Bibelstellen;JH_20;Johannes 20.19 (As) ;sf.;;Tür;двьрь;двьрь́мъ;двъремъ;
PoS;d.pl.;Bibelstellen;JH_20;Johannes 20.19 (As) ;sf.;;Tür;двьрь;двьрь́мъ;двъремъ;
;d.pl.;Bibelstellen;JH_20;Johannes 20.19 (As) ;sf.;;Tür;двьрь;двьрь́мъ;двъремъ;cls
gD;d.pl.;Bibelstellen;JH_20;Johannes 20.19 (As) ;sf.;;Tür;двьрь;двьрь́мъ;двъремъ;
;prc.prt.pass.d.pl.m.;Bibelstellen;JH_20;Johannes 20.19 (As) ;vb.pf.;;schließen;затворити ;затворе́номъ ;затвореномъ, ;std
mrph;prc.prt.pass.d.pl.m.;Bibelstellen;JH_20;Johannes 20.19 (As) ;vb.pf.;;schließen;затворити ;затворе́номъ ;затвореномъ, ;
lm;prc.prt.pass.d.pl.m.;Bibelstellen;JH_20;Johannes 20.19 (As) ;vb.pf.;;schließen;затворити;затворе́номъ ;затвореномъ, ;
PoS;prc.prt.pass.d.pl.m.;Bibelstellen;JH_20;Johannes 20.19 (As) ;vb.pf.;;schließen;затворити;затворе́номъ ;затвореномъ, ;
;prc.prt.pass.d.pl.m.;Bibelstellen;JH_20;Johannes 20.19 (As) ;vb.pf.;;schließen;затворити;затворе́номъ ;затвореномъ, ;cls
gD;prc.prt.pass.d.pl.m.;Bibelstellen;JH_20;Johannes 20.19 (As) ;vb.pf.;;schließen;затворити;затворе́номъ ;затвореномъ, ;
;$;Bibelstellen;JH_20;Johannes 20.19 (As) ;adv.;;da;иде;иде;+идеже;std
mrph;$;Bibelstellen;JH_20;Johannes 20.19 (As) ;adv.;;da;иде;иде;+идеже;
PoS;$;Bibelstellen;JH_20;Johannes 20.19 (As) ;adv.;;da;иде;иде;+идеже;
cls;$;Bibelstellen;JH_20;Johannes 20.19 (As) ;adv.;$;da;иде;иде;+идеже;
mrph;$;Bibelstellen;JH_20;Johannes 20.19 (As) ;part.;;же;же;же;идеже;
PoS;$;Bibelstellen;JH_20;Johannes 20.19 (As) ;part.;;же;же;же;идеже;
cls;$;Bibelstellen;JH_20;Johannes 20.19 (As) ;part.;$;же;же;же;идеже;
mrph;3.pl.impf.;Bibelstellen;JH_20;Johannes 20.19 (As) ;vb.;;sein;бꙑти;бѣ́ахѫ;бѣахѫ;
PoS;3.pl.impf.;Bibelstellen;JH_20;Johannes 20.19 (As) ;vb.im.;;sein;бꙑти;бѣ́ахѫ;бѣахѫ;
cls;3.pl.impf.;Bibelstellen;JH_20;Johannes 20.19 (As) ;vb.im.;a;sein;бꙑти;бѣ́ахѫ;бѣахѫ;
gD;3.pl.impf.;Bibelstellen;JH_20;Johannes 20.19 (As) ;vb.im.;a;sein;бꙑти;бѣ́ахѫ;бѣахѫ;
;n.pl.;Bibelstellen;JH_20;Johannes 20.19 (As) ;sm.;;Schüler;оученикъ;оученици́;оученіці;mrph
;n.pl.;Bibelstellen;JH_20;Johannes 20.19 (As) ;sm.;;Schüler;оученикъ;оученици́;оученіці;lm
PoS;n.pl.;Bibelstellen;JH_20;Johannes 20.19 (As) ;sm.;;Schüler;оученикъ;оученици́;оученіці;
;n.pl.;Bibelstellen;JH_20;Johannes 20.19 (As) ;sm.;;Schüler;оученикъ;оученици́;оученіці;cls
gD;n.pl.;Bibelstellen;JH_20;Johannes 20.19 (As) ;sm.;;Schüler;оученикъ;оученици́;оученіці;
std;g.sg.;Bibelstellen;JH_20;Johannes 20.19 (As) ;prn.;;er,sie,es;и ;ѥго́;его ;
mrph;g.sg.;Bibelstellen;JH_20;Johannes 20.19 (As) ;prn.;;er,sie,es;и ;ѥго́;его ;
lm;g.sg.;Bibelstellen;JH_20;Johannes 20.19 (As) ;prn.;;er,sie,es;и;ѥго́;его ;
PoS;g.sg.;Bibelstellen;JH_20;Johannes 20.19 (As) ;prn.;;er,sie,es;и;ѥго́;его ;
cls;g.sg.;Bibelstellen;JH_20;Johannes 20.19 (As) ;prn.;$;er,sie,es;и;ѥго́;его ;
mrph;prc.prt.pass.n.pl.m.;Bibelstellen;JH_20;Johannes 20.19 (As) ;vb.pf.;;versammeln;събьрати;съ́бьрани;сьбьрані;
PoS;prc.prt.pass.n.pl.m.;Bibelstellen;JH_20;Johannes 20.19 (As) ;vb.pf.;;versammeln;събьрати;съ́бьрани;сьбьрані;
;prc.prt.pass.n.pl.m.;Bibelstellen;JH_20;Johannes 20.19 (As) ;vb.pf.;;versammeln;събьрати;съ́бьрани;сьбьрані;cls
gD;prc.prt.pass.n.pl.m.;Bibelstellen;JH_20;Johannes 20.19 (As) ;vb.pf.;;versammeln;събьрати;съ́бьрани;сьбьрані;
mrph;$;Bibelstellen;JH_20;Johannes 20.19 (As) ;prp.;;für;за;за;за;
PoS;$;Bibelstellen;JH_20;Johannes 20.19 (As) ;prp.;;für;за;за;за;
cls;$;Bibelstellen;JH_20;Johannes 20.19 (As) ;prp.;$;für;за;за;за;
gD;$;Bibelstellen;JH_20;Johannes 20.19 (As) ;prp.;$;für;за;за;за;
std;a.sg.;Bibelstellen;JH_20;Johannes 20.19 (As) ;sm.;;Furcht;страхъ;стра́хъ;страхъ;
mrph;a.sg.;Bibelstellen;JH_20;Johannes 20.19 (As) ;sm.;;Furcht;страхъ;стра́хъ;страхъ;
PoS;a.sg.;Bibelstellen;JH_20;Johannes 20.19 (As) ;sm.;;Furcht;страхъ;стра́хъ;страхъ;
cls;a.sg.;Bibelstellen;JH_20;Johannes 20.19 (As) ;sm.;c;Furcht;страхъ;стра́хъ;страхъ;
gD;a.sg.;Bibelstellen;JH_20;Johannes 20.19 (As) ;sm.;c;Furcht;страхъ;стра́хъ;страхъ;
;a.sg.m.;Bibelstellen;JH_20;Johannes 20.19 (As) ;adv.;;Juden-;июдѣискъ ;июдѣ́искъ ;июдеискъ, ;std
mrph;a.sg.m.;Bibelstellen;JH_20;Johannes 20.19 (As) ;adv.;;Juden-;июдѣискъ ;июдѣ́искъ ;июдеискъ, ;
lm;a.sg.m.;Bibelstellen;JH_20;Johannes 20.19 (As) ;adv.;;Juden-;июдѣискъ;июдѣ́искъ ;июдеискъ, ;
PoS;a.sg.m.;Bibelstellen;JH_20;Johannes 20.19 (As) ;adv.;;Juden-;июдѣискъ;июдѣ́искъ ;июдеискъ, ;
cls;a.sg.m.;Bibelstellen;JH_20;Johannes 20.19 (As) ;adv.;$;Juden-;июдѣискъ;июдѣ́искъ ;июдеискъ, ;
gD;a.sg.m.;Bibelstellen;JH_20;Johannes 20.19 (As) ;adv.;$;Juden-;июдѣискъ;июдѣ́искъ ;июдеискъ, ;
mrph;3.sg.aor.;Bibelstellen;JH_20;Johannes 20.19 (As) ;vb.pf.;;kommen;прити;приде́;приде;
lm;3.sg.aor.;Bibelstellen;JH_20;Johannes 20.19 (As) ;vb.pf.;;kommen;приити;приде́;приде;
PoS;3.sg.aor.;Bibelstellen;JH_20;Johannes 20.19 (As) ;vb.pf.;;kommen;приити;приде́;приде;
cls;3.sg.aor.;Bibelstellen;JH_20;Johannes 20.19 (As) ;vb.pf.;b;kommen;приити;приде́;приде;
gD;3.sg.aor.;Bibelstellen;JH_20;Johannes 20.19 (As) ;vb.pf.;b;kommen;приити;приде́;приде;
PoS;n.sg.;Bibelstellen;JH_20;Johannes 20.19 (As) ;sm.npr.;;Jesus;Исоусъ;Исоу́съ;ис҃ъ҃;
