part;page;line;subpart;match;safeness
1;1;5;intr;jahjis;safe
1;1;5;intr;jahjis;unsafe
1;2;2;peri;attraiſẜiyuſchi;safe
1;2;13;peri;pawehleyis;safe
1;2;13;peri;pawehleyis;unsafe
1;2;15;peri;Ļaudis;unsafe
1;2;18;peri;Ļau-dis;absolute_trash
1;2;23;aus1;peedſiewojuẜchi;safe
1;2;25;aus1;nahʒis;unsafe
1;2;27;aus1;peedſimmis;unsafe
1;3;2;aus1;Jahnis;unsafe
1;3;6;aus1;patteeß;unsafe
1;3;7;aus1;tappis;unsafe
1;3;11;aus1;Pehteris;unsafe
1;3;15;aus1;ee⸗ʒaͤhluſchi;safe
1;3;17;aus1;mahʒiteeß;unsafe
1;3;18;aus1;ẜataiẜitees;unsafe
1;3;29;aus1;ee⸗jahjis;safe
1;3;29;aus1;ee⸗jahjis;unsafe
1;3;31;aus1;ſtahſtijis;safe
1;3;31;aus1;ſtahſtijis;unsafe
1;4;8;aus2;nokauteeß;unsafe
1;4;10;aus2;tris;unsafe
1;4;10;aus2;attſchkirrteeß;unsafe
1;4;11;aus2;pawehlejis;safe
1;4;11;aus2;pawehlejis;unsafe
1;5;6;aus2;attpirrʒis;unsafe
1;5;14;aus2;Atʒis;unsafe
1;5;17;aus2;eepreeʒenajeeß;safe
1;5;17;aus2;eepreeʒenajeeß;unsafe
1;5;22;aus2;klauſẜais;unsafe
1;5;23;aus2;Ꞩarrghajieeß;unsafe
1;5;24;aus2;Ꞩarrgajees;safe
1;5;24;aus2;Ꞩarrgajees;unsafe
1;5;25;aus2;Atʒis;unsafe
1;6;1;aus2;darrijis;safe
1;6;1;aus2;darrijis;unsafe
1;6;4;aus2;ee⸗jahjis;safe
1;6;4;aus2;ee⸗jahjis;unsafe
1;6;13;aus2;Atʒis;unsafe
1;6;15;aus2;Ļaudis;unsafe
1;6;17;aus2;baſchitees;unsafe
1;6;18;aus2;Peſtitaiß;unsafe
1;6;19;aus2;Taißniß;unsafe
1;6;19;aus2;Taißnis;unsafe
1;6;24;aus2;preeʒateeß;unsafe
1;6;27;aus2;Mahʒais;unsafe
1;6;32;aus2;rauſtiteeß;unsafe
1;6;33;aus2;brienoteeß;unsafe
1;7;1;aus2;Atʒis;unsafe
1;7;12;aus2;nahʒis;unsafe
1;7;19;aus2;ẜchiß;unsafe
1;7;20;aus2;Taißniß;unsafe
1;7;20;aus2;Peſtitais;unsafe
1;7;22;aus2;preeʒateeß;unsafe
1;7;23;aus2;liexmoteeß;unsafe
1;7;26;aus2;Ꞩchiß;unsafe
1;7;29;aus2;Ļaudis;unsafe
1;7;30;aus2;ẜchiß;unsafe
1;7;31;aus2;Ļaudis;unsafe
1;7;31;aus2;Wahrtis;unsafe
1;8;6;aus2;Ꞩchiß;unsafe
1;8;19;aus2;paļauteeß;unsafe
1;8;22;aus2;bieſteeß;unsafe
1;8;25;aus2;Jahnis;unsafe
1;8;30;aus2;ißwehlejis;safe
1;8;30;aus2;ißwehlejis;unsafe
1;9;3;aus2;bieſta-meeß;absolute_trash
1;9;7;aus2;Ļaudis;unsafe
1;9;8;aus2;padohdeeß;unsafe
1;9;9;aus2;bieſteeß;unsafe
1;9;12;aus2;Ʒelleeß;unsafe
1;9;20;aus2;mettieſẜeeß;unsafe
1;9;20;aus2;attnahʒis;unsafe
1;9;26;aus2;pawehlejis;safe
1;9;26;aus2;pawehlejis;unsafe
1;9;31;aus2;klauſẜi;safe
1;10;2;aus2;pawehlejis;safe
1;10;2;aus2;pawehlejis;unsafe
1;10;9;aus2;pawehlejis;safe
1;10;9;aus2;ẜohlijis;safe
1;10;9;aus2;pawehlejis;unsafe
1;10;9;aus2;ẜohlijis;unsafe
1;10;17;aus2;Ļaudis;unsafe
1;10;19;aus2;Ļaudis;unsafe
1;10;31;aus2;litʒis;unsafe
1;11;1;aus2;redſejuẜchi;safe
1;11;3;aus2;usjehmeeß;unsafe
1;11;19;aus2;ißraudſijeeß;safe
1;11;19;aus2;ißraudſijeeß;unsafe
1;11;23;aus2;aiʒenajis;safe
1;11;23;aus2;aiʒenajis;unsafe
1;12;14;peri;iſẜamiſẜiſẜees;unsafe
1;13;2;peri;iſẜabydamees;unsafe
1;13;4;peri;kußtinahſẜees;unsafe
1;13;7;peri;ſkattaitees;unsafe
1;13;16;peri;Pattees;unsafe
1;13;17;peri;ſchiß;unsafe
1;13;19;peri;ẜarghayeetees;unsafe
1;14;1;aus1;ꞨChiß;unsafe
1;14;3;aus1;Atteeß;unsafe
1;14;4;aus1;Atteeß;unsafe
1;14;11;aus1;rahdieſ-ẜeeß;absolute_trash
1;14;12;aus1;iſẜamiſẜeſẜeeß;unsafe
1;14;13;aus1;iſẜabidamees;unsafe
1;14;14;aus1;rahdieſẜeeß;unsafe
1;14;22;aus1;mahʒiteeß;unsafe
1;14;24;aus1;Peſtitais;unsafe
1;14;24;aus1;Ꞩoghis;unsafe
1;15;1;aus2;atteeß;unsafe
1;15;2;aus2;ẜluddenajis;safe
1;15;2;aus2;tieſẜeeß;unsafe
1;15;2;aus2;Pehteris;unsafe
1;15;2;aus2;ẜluddenajis;unsafe
1;15;4;aus2;patteeß;unsafe
1;15;8;aus2;kahweẜimeeß;unsafe
1;15;10;aus2;paẜluddenajis;safe
1;15;10;aus2;paẜluddenajis;unsafe
