part;page;line;match;Kommentar;subpart;obliqua
1;1;5;jahjis;prs.3.;intr;0
1;2;2;attraiſẜiyuſchi;;peri;1
1;2;13;pawehleyis;prt.3.;peri;0
1;2;23;peedſiewojuẜchi;;aus1;0
1;2;25;nahʒis;;aus1;0
1;2;27;peedſimmis;;aus1;0
1;3;7;tappis;;aus1;0
1;3;15;ee⸗ʒaͤhluſchi;;aus1;0
1;3;29;ee⸗jahjis;prs.3.;aus1;0
1;3;31;ſtahſtijis;;aus1;0
1;4;11;pawehlejis;prt.3.;aus2;0
1;5;6;attpirrʒis;;aus2;0
1;5;17;eepreeʒenajeeß;?;aus2;0
1;5;23;Ꞩarrghajieeß;imp;aus2;0
1;6;1;darrijis;prs.3.;aus2;0
1;6;4;ee⸗jahjis;prs.3.;aus2;0
1;7;12;nahʒis;;aus2;0
1;8;30;ißwehlejis;prs.3.;aus2;0
1;9;20;attnahʒis;;aus2;0
1;9;26;pawehlejis;prt.3.;aus2;0
1;10;2;pawehlejis;prs.3.;aus2;0
1;10;9;pawehlejis;prs.3.;aus2;0
1;10;9;ẜohlijis;;aus2;0
1;10;31;litʒis;;aus2;0
1;11;1;redſejuẜchi;prs.3.;aus2;0
1;11;3;usjehmeeß;?;aus2;0
1;11;19;ißraudſijeeß;;aus2;0
1;11;23;aiʒenajis;prs.3.;aus2;0
1;15;2;ẜluddenajis;prs.3.;aus2;0
1;15;10;paẜluddenajis;;aus2;0
1;15;14;redſejuſſchi;;aus2;0
1;15;15;titʒejuſẜchi;;aus2;0
1;15;16;pawehlejuſſchi;;aus2;0
1;15;18;ʒehleeß;?;aus2;0
1;15;18;brauʒis;;aus2;0
1;15;19;ẜaͤhdenajees;;aus2;0
1;15;28;turrejis;;aus2;0
1;15;31;ſinnajis;prs.3.;aus2;0
1;16;1;paſļuddenajis;;aus2;0
1;16;3;wehlejis;;aus2;0
1;16;15;rahdijis;;aus2;0
1;16;15;Dehwis;;aus2;0
1;16;22;redſejuẜchi;;aus2;0
1;17;22;noſkummis;;aus2;0
1;17;23;nokahris;;aus2;0
1;17;25;noſkummis;;aus2;0
1;17;26;nomirris;cnd;aus2;0
1;18;19;daggajuſẜi;;aus2;0
1;18;24;peeẜatʒijis;;aus2;0
1;18;28;ʒehlis;;aus2;0
1;18;29;aisghrahbis;;aus2;0
1;19;2;darrijis;prs.3.;aus2;0
1;19;21;litʒis;prs.3.;aus2;0
1;19;28;daggajuſẜi;prs.3.;aus2;0
1;20;2;nahkuſẜi;;aus2;0
1;21;10;allojeeß;?;aus2;0
1;21;16;ee⸗preʒenajeeß;?;aus2;0
1;21;19;nahʒis;;aus2;0
1;21;20;nomirris;;aus2;0
1;21;21;ʒehleeß;?;aus2;0
1;21;21;ẜohlijis;;aus2;0
1;22;8;nitʒinajis;2.sg.prs.;aus2;0
1;22;9;ghribbejis;;aus2;0
1;22;29;nomirris;;aus2;0
1;24;19;notixeeß;;aus2;0
1;25;12;ẜehdejis;;aus2;0
1;25;18;dſirrdejuẜchi;;aus2;0
1;25;29;darrijis;;aus2;0
1;26;9;Chriſtijis;prt.3.;intr;0
1;26;10;noẜuhtijis;;intr;0
1;26;12;ẜohlijis;;intr;0
1;27;10;ißghajuẜchi;;peri;1
1;27;12;ißghajuſchi;;peri;1
1;28;1;ißghajuſchi;;peri;1
1;28;9;nahʒis;prs.3.;aus1;0
1;28;10;nahʒis;prs.3.;aus1;0
1;28;12;nahʒis;;aus1;0
1;28;13;parahdijeeß;prs.3.;aus1;0
1;28;16;nahʒis;prs.3.;aus1;0
1;28;21;juẜchi;;aus1;0
1;28;21;nahʒis;prs.3.;aus1;0
1;28;27;Chriſtijis;prt.3.;aus1;0
1;29;6;ẜohlijis;;aus1;0
1;29;19;ẜohlijis;;aus1;0
1;29;24;noẜuhtijis;;aus1;0
1;29;25;dabbujuẜchi;;aus1;0
1;29;27;attpeſtijis;2.sg.prs.;aus1;0
1;29;30;darrijis;;aus2;0
1;29;31;noſkrehjuſẜi;;aus2;0
1;30;16;dſiewojis;;aus2;0
1;30;17;bijis;;aus2;0
1;30;21;ẜatʒijis;;aus2;0
1;30;22;jauʒeeß;;aus2;0
1;30;24;darrijis;;aus2;0
1;30;30;ẜatʒijis;;aus2;0
1;31;2;attkrahpis;;aus2;0
1;31;2;weddiß;;aus2;0
1;31;16;reijeeß;;aus2;0
1;31;17;laͤtʒenajeeß;?;aus2;0
1;31;20;jauʒeeß;;aus2;0
1;31;21;waſajeeß;?;aus2;0
1;32;24;bijuſẜi;;aus2;0
1;33;23;warrejis;cnd;aus2;0
1;33;31;pellnijis;;aus2;0
1;33;31;nhenopellnijis;;aus2;0
1;34;1;mahʒijis;prs.3.;aus2;0
1;34;2;dſiewojis;;aus2;0
1;34;2;Ʒeetis;;aus2;0
1;34;2;mirris;;aus2;0
1;34;2;ʒehleeß;;aus2;0
1;34;3;uskahpis;;aus2;0
1;34;7;tappis;;aus2;0
1;34;12;Ʒeetis;?;aus2;0
1;34;13;pellnijis;;aus2;0
