2;1;4;intr;najis;safe;#WERT!;;#WERT!;#WERT!;#WERT!;x;#WERT!;#NAME?
1;1;5;intr;jahjis;safe;l;;5;214intrnajis;24najis;x;x;#NAME?
3;2;6;peri;nodſeedajuſchi;safe;l;;6;115intrjahjis;15jahjis;x;x;#NAME?
1;2;23;aus1;peedſiewojuẜchi;safe;l;;14;326perinodſeedajuſchi;36nodſeedajuſchi;x;x;#NAME?
1;2;2;peri;attraiſẜiyuſchi;safe;l;;15;1223aus1peedſiewojuẜchi;123peedſiewojuẜchi;x;x;#NAME?
2;2;16;peri;ẜatʒijis;safe;l;;15;122periattraiſẜiyuſchi;12attraiſẜiyuſchi;x;x;#NAME?
1;2;27;aus1;peedſimmis;unsafe;l;;8;2216periẜatʒijis;216ẜatʒijis;x;x;#NAME?
1;2;13;peri;pawehleyis;safe;l;;10;1227aus1peedſimmis;127peedſimmis;x;x;#NAME?
1;2;25;aus1;nahʒis;unsafe;l;;10;1213peripawehleyis;113pawehleyis;x;x;#NAME?
3;2;3;intr;notitʒeeß;unsafe;l;;6;1225aus1nahʒis;125nahʒis;x;x;#NAME?
2;3;12;peri;paſudduẜchi;safe;l;;9;323intrnotitʒeeß;33notitʒeeß;x;x;#NAME?
2;3;2;peri;juẜchi;safe;l;;11;2312peripaſudduẜchi;212paſudduẜchi;x;x;#NAME?
2;3;4;peri;titʒejuſchi;safe;l;;6;232perijuẜchi;22juẜchi;x;x;#NAME?
1;3;15;aus1;ee⸗ʒaͤhluſchi;safe;l;;11;234perititʒejuſchi;24titʒejuſchi;x;x;#NAME?
3;3;10;peri;noſkummuſẜi;safe;l;;13;1315aus1ee⸗ʒaͤhluſchi;115ee⸗ʒaͤhluſchi;x;x;#NAME?
2;3;10;peri;pa⸗auxtenajis;safe;l;;11;3310perinoſkummuſẜi;310noſkummuſẜi;x;x;#NAME?
1;3;29;aus1;ee⸗jahjis;safe;l;;13;2310peripa⸗auxtenajis;210pa⸗auxtenajis;x;x;#NAME?
1;3;31;aus1;ſtahſtijis;safe;l;;9;1329aus1ee⸗jahjis;129ee⸗jahjis;x;x;#NAME?
2;3;16;aus1;mahʒijis;safe;l;;10;1331aus1ſtahſtijis;131ſtahſtijis;x;x;#NAME?
1;3;7;aus1;tappis;unsafe;l;;8;2316aus1mahʒijis;216mahʒijis;x;x;#NAME?
2;3;7;peri;nahʒis;unsafe;l;;6;137aus1tappis;17tappis;x;x;#NAME?
2;3;16;aus1;rahdijeeß;safe;l;;6;237perinahʒis;27nahʒis;x;x;#NAME?
2;4;21;aus2;titʒejuẜchi;safe;l;;9;2316aus1rahdijeeß;216rahdijeeß;x;x;#NAME?
3;4;21;peri;nahkuſẜi;safe;l;;11;2421aus2titʒejuẜchi;221titʒejuẜchi;x;x;#NAME?
1;4;11;aus2;pawehlejis;safe;l;;8;3421perinahkuſẜi;321nahkuſẜi;x;x;#NAME?
2;4;24;aus2;raddijis;safe;l;;10;1411aus2pawehlejis;111pawehlejis;x;x;#NAME?
2;4;30;aus2;raddijis;safe;l;;8;2424aus2raddijis;224raddijis;x;x;#NAME?
2;4;7;aus1;ẜuhtijis;safe;l;;8;2430aus2raddijis;230raddijis;x;x;#NAME?
2;4;25;aus2;attlehʒis;unsafe;l;;8;247aus1ẜuhtijis;27ẜuhtijis;x;x;#NAME?
2;4;24;aus2;Vsluhkojeeß;safe;l;?;9;2425aus2attlehʒis;225attlehʒis;x;x;#NAME?
