teil;index;dt;bibelstelle;predigt;p-zeilen;auslegung1;a1-zeilen;auslegung2;a2-zeilen;a-zeilen;h-zeilen;e-zeilen
1;1;"Evangelium am erſten Son- tage des Advents / Matth. 21. ";Mt 21,1–9;1,8;28;2,22;40;4,1;259;299;2;5
1;2;"Evangelium am andern Son- tage des Advents / Luc. 21. ";Lk 21,25–36;12,11;31;14,1;27;14,28;349;376;2;4
1;3;"Evangelium am Dritten Sontage des Advents / Matth. 11. ";Mt 11,2–10;26,16;27;28,7;49;29,28;226;275;3;8
1;4;"Evangelium am Vierdten Sontage des Advents / Joh. 1. ";Jh 1,19–28;37,13;24;39,1;52;40,22;243;295;2;6
1;5;"Evangelium am heiligen Chriſtage / Luc. 2.    ";Lk 2,1–14;49,5;32;50,22;69;53,3;276;345;2;4
1;6;"Evangelium am andern Weihenacht⸗Feyer⸗Tage / Luc. 2. ";Lk 2,15–20;60,9;16;61,11;37;62,20;281;318;3;5
1;7;"Evangelium am Sontage nach dem Chriſtage / Luc. 2. ";Lk 2,33–40;72,9;25;73,20;50;75,12;312;362;2;6
1;8;"Evangelium am Newen Jahrs⸗Tage / Luc. 2. Cap. ";Lk 2,21;86,1;6;86,7;31;87,22;352;383;2;4
1;9;"Evangelium am Sontage nach dem Newen Jahrstage / Matth. 2. ";Mt 2,13–15;99,8;14;100,9;32;101,13;290;322;3;4
1;10;"Evangelium am Tage der H. Drey Koͤnige / Matth. 2. ";Mt 2,1–12;111,9;39;113,8;53;115,1;345;398;2;6
1;11;"Evangelium am erſten Son- tage nach der H. Drey Koͤnige / Luc. 2. ";Lk 2,41–52;127,1;32;128,8;43;129,22;351;394;3;5
1;12;"Evangelium am andern Sontag nach der H. drey Koͤ- nige / Johan. 2. ";Jh 2,1–11;141,8;29;143,1;30;144,1;371;401;3;4
1;13;"Evangelium am dritten Sontag nach der H. drey Koͤ- nige / Matth. 8. ";Mt 8,1–13;156,9;38;158,8;31;159,10;327;358;3;5
1;14;"Evangelium am Friedens⸗ Tage / Luc. 13. Welcher Jaͤhrlich im Fuͤrſtenthumb Churland und Semgallen auff Anordnung Fuͤrſtl. Durchl. Hertʒog Gotthardts / etc. Chriſtmilder Gedaͤchtniß / wegen des ʒwiſchen dem Pohlen und Moßcowiter / betreffend den Liefflaͤndiſchen Krieg / Anno 1582. durch ſonderbare Schi- ckung Gottes getroffenen Friedens / den 15. / 25. Ja- nuarij feyerlich gehalten wird . ";Lk 13,1–9;170,16;28;171,21;58;173,22;375;433;9;6
1;15;"Evangelium am vierdten Sontag nach der H. drey Koͤ- nige / Matth. 8. ";Mt 8,23–27;186,9;14;187,10;35;188,17;273;308;3;5
1;16;"Evangelium am fuͤnfften Sontag nach der H. drey Koͤ- nige / Matth. 13. ";Mt 13,24–30;198,1;24;199,11;43;200,27;264;307;3;5
