doc;page;line;type;source;marg;text
McP_I;001;3;;;;"Ka taß Kungs JEſus Chriſtus | vs weenas Eſeļa⸗Mahtes eekſchan Jeruſalem ee- | jahjis gir"
McP_I;003;1;"Bibelanpassung";"1. Joh. 4,3";"";"kaß to nhe titʒ / taß nhe gir | no Deewu"
McP_I;003;11;"Bibelzitat";"Act. 4,12";"Act. 4,12";"Eekſchan ʒittu nheweenu mums Peſti- | ſchana gir / ka ween eekſchan to Wahrdu JEſu ."
McP_I;003;18;"Bibelanpassung";"Rom. 13,12–13";"Rom. 13,12";"Nolickdami | tohß Dahrbus tahß Tumbẜibas / unnd aplickdami tohs | Bruņņus tahß Ghaiſchibas : mums buhß ghodighe ſtai- | ghat / ka Deenà / nhe eekſchan Rieſchanas und leekas Dſerr- | ſchanas / nhe eekſchan Kambaŗeem und Nheſchkieſtibas / | nhe eekſchan Bahrſchanas und Eenaidibas"
McP_I;003;23;"Bibelzitat";"Rom. 13,11";"Rom. 13,12(?)";"Aiſto / | muhſẜa Peſtiſchana taggad mums tuwaka gir / nhe ka | mehs titʒam"
McP_I;003;27;"";"";"";"JESVS | Chriſtus tick ſemmighe us weenas Eſeļa⸗Mahtes und Ku- | meļu eekſchan Jeruſalemes ee⸗jahjis gir / ihten ka taß Pro- | weets Ʒacharias dauds ẜimbtus Ghaddus papreekſche by | ſtahſtijis . | Taß patʒ JEſus Chriſtus ghribbaͤtu ſchehlighe irr py | mums atteet / und ar ẜawu Swaͤhtu Gharru mums klaht ſta- | weht / Amen ."
McP_I;004;31;"";"";"";"Tam Kungham wajagha to / tudeļļ / ẜacku eß / tee tohß | Lohpus attlaidieß ."
McP_I;005;8;"";"";"Pſal. 25,16";"ta Jßbaile mannas Ꞩirrds gir leela / wedd | mann aran mannahm Mohkam / usraughi mannas Baͤ- | das und Nabbadſibu / und peedohd mannus Ghraͤkus ."
McP_I;005;12;"";"";"Eſai. 66,2";"Es usraughu to Nabbaghu / und kam ẜa- | lauſieta Ꞩirrds gir / und kaß bieſtahs prekſch mañu Wahr- | du ."
McP_I;005;14;"";"";"Pſal. 33,18";"Tahß Atʒis ſcha Kunga ſkattahs us teem / kattri us | winja Schaͤlaſtibu ʒerre / ka wings to Dwehſẜel peſti no | Nahwes / und baŗŗo tohß dahrghà Laikà"
McP_I;005;24;"";"";"Syr. 17,15";"Wiſſo Ʒillwaͤko Darrbs gir preekſchan win- | ju tick raͤdſams ka ta Ꞩaule / und winja Atʒis ſkattahß beß | Mitteſchanas us winjo Buhſchanu . Jrr winjo Bleh- | diba nhe gir tam paẜlaͤhpta / und wiſẜi winjo Ghraͤki gir | tam raͤdſami"
McP_I;005;28;"";"";"Pſal. 34,17";"Deewa Waigs ſtahw pretti | teem kattri ļaun darra / ka taß winjo Wahrdu und Pee- | minneſchanu ißdellde no Semmes"
McP_I;005;31;"";"";"2. Cor. 5,10";"Mums buhß | wiſẜeem ſtahweht preekſch JEſu Chriſti Gohda⸗Kraͤhßlu / | ka | ka ickweens warr dabbuit ka taß darrijis gir ẜawà Muh- | ſchà / laid taß buht labbs jeb ļauns ."
McP_I;006;6;"";"";"Zach. 9,9";"Taß noticka wiß / ka peepilldietʒ kļuhtu / kaß tur ẜatʒiets | gir ʒaur to Prowetu ( Ʒacharia ) katters turr ſtahſta : Ꞩa- | ckaita tai Meitai Ʒion / Raughi / taws Konings nahk py | toͤw lehnpratiegs / und jahi us weenu Eſeli / und us weenu | Kumeļu tahß naſtunaͤſſetajas Eſeļa⸗Mahtes ."
McP_I;006;11;;;;"Ʒion"
McP_I;006;11;;;;"Jeruſalem"
McP_I;006;18;;;;"Peſtitaiß / | und Taißniß"
McP_I;007;8;"";"";"2. Cor. 8,9";"Juhß ſinnaht to Schaͤlaſtibu muhſẜa Kungha JEſu Chri- | ſti / jebſche wings baggahts gir / tappa wings tomaͤhr nab- | bags juhſẜo dehl / ka juhß ʒaur winja Nabbadſibu baggati | taptaht ."
McP_I;007;12;"";"Gelobet seist du Jesu Christ, Z. 26-29";"Cant. Eccleſ.";"Tas gir wirß Semmes nahʒis nabbags / | Ka taß par mums abſchaͤlotohß / | Vnd Debbeſẜies darritu baggatus / | Vnd ẜaweem mieļeem Engeļeem liedſa ."
McP_I;007;20;;;;"Taißniß / lehnpratiegs und Peſtitais"
McP_I;007;31;"Bibelanpassung";"Matt. 16,18";"Matt. 16,18";"Elles Wahrtis | mums nhe warr uswareht"
McP_I;007;32;"";"";"Prov. 21,1";"bett wings irr muhſẜo Eenaid- | neeko | neeko Ꞩirrdes ẜawà Rohkà turr / und ghrohſa kurrp ghrib- | baͤdams ."
McP_I;008;5;;;;"Tam Kungham waijagha tahß / | tudeļļ wings jums tohß attlaidieß ."
McP_I;008;21;"";"";"1. Pet. 5,18";"gribbaͤdams toͤw apriet"
McP_I;008;23;"";"";"1. Joh. 4,4";"Aiſto kaß eekſchan mums gir / | taß gir leelahx / nhe ka taß kaß Paſẜauleh gir"
McP_I;008;25;"";"Ein feste Burg ist unser Gott, Z. 5-27";"Cant. Eccleſ.";"Taß waͤtʒ ļauns Eenaidneex / no Ꞩirrds duß- | mo / leels Spaͤhx und Willtiba winja breeßmighas Bruņ- | ņas gir / wirß Semmes nhe gir ohters tahds . Ar muhſẜu | Spaͤhku mehß nhe ſpehjam / Mehs aͤſẜam dries uswahraͤ- | ti / preekſchan mums kaŗŗo taß ihſtaͤhns Wiers / kattru | patʒ Deews gir ißwehlejis / Waiʒa tu kaß taß gir ? Tha | Wahrds gir JEſus Chriſt / taß Kungs Ʒebaoth / und nhe | gir ʒitʒ nheweens Deews / Winjam buhs uswarret . | Tapehtʒ | Tapehtʒ / jebſche ta Paſẜaule pilla Waͤllo buhtu ; und | gribbaͤtu mums wiſchkim abriet / Tamaͤhr[Tomaͤhr] nhe bieſta- | meeß mehs tick ļohte / mums ghann labb taß ißdohſẜeß : | Taß Kungs ẜchahß Paſẜaules / ka ſkummighe taß turrahß / | tomaͤhr nhe kait taß mums nheneek / taß nahkahß / Wings | gir ẜohdietʒ / weens Wahrdings warr to nohmakt ."
